date;age60;reported;nowcast_est;nowcast_lwr;nowcast_upr;reported7;nowcast7_est;nowcast7_lwr;nowcast7_upr;F_est;F_lwr;F_upr
2021-09-26;nein;32;32,0;32,0;32,0;258;258,0;258,0;258,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-25;alle;65;65,0;65,0;65,0;465;465,0;465,0;465,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-25;ja;30;30,0;30,0;30,0;209;209,0;209,0;209,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-25;nein;35;35,0;35,0;35,0;256;256,0;256,0;256,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-24;alle;70;70,0;70,0;70,0;464;464,0;464,0;464,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-24;ja;35;35,0;35,0;35,0;204;204,0;204,0;204,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-24;nein;35;35,0;35,0;35,0;260;260,0;260,0;260,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-23;alle;64;64,0;64,0;64,0;467;467,0;467,0;467,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-23;ja;28;28,0;28,0;28,0;201;201,0;201,0;201,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-23;nein;36;36,0;36,0;36,0;266;266,0;266,0;266,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-22;alle;70;70,0;70,0;70,0;492;492,0;492,0;492,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-22;ja;31;31,0;31,0;31,0;213;213,0;213,0;213,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-22;nein;39;39,0;39,0;39,0;279;279,0;279,0;279,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-21;alle;68;68,0;68,0;68,0;490;490,0;490,0;490,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-21;ja;31;31,0;31,0;31,0;216;216,0;216,0;216,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-21;nein;37;37,0;37,0;37,0;274;274,0;274,0;274,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-20;alle;75;75,0;75,0;75,0;511;511,0;511,0;511,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-20;ja;31;31,0;31,0;31,0;221;221,0;221,0;221,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-20;nein;44;44,0;44,0;44,0;290;290,0;290,0;290,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-19;alle;53;53,0;53,0;53,0;534;534,0;534,0;534,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-19;ja;23;23,0;23,0;23,0;235;235,0;235,0;235,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
2021-09-19;nein;30;30,0;30,0;30,0;299;299,0;299,0;299,0;1,0000000000000000;1,0000000000000000;1,0000000000000000
