Bundesland,Altersgruppe,Meldedatum,Kalenderjahr,Kalenderwoche,Neuerkrankung,Hospitalisierung,index,population
Bayern,35-59,2020-02-02,2020,5,3,0,5,4601435
Bayern,60-79,2020-02-02,2020,5,0,0,5,2743938
Bayern,80+,2020-02-02,2020,5,0,0,5,871866
Berlin,00-04,2020-02-02,2020,5,0,0,5,191397
Berlin,05-14,2020-02-02,2020,5,0,0,5,332599
Berlin,15-34,2020-02-02,2020,5,0,0,5,947650
Berlin,35-59,2020-02-02,2020,5,0,0,5,1275540
Berlin,60-79,2020-02-02,2020,5,0,0,5,694774
Berlin,80+,2020-02-02,2020,5,0,0,5,221362
Brandenburg,00-04,2020-02-02,2020,5,0,0,5,108401
Brandenburg,05-14,2020-02-02,2020,5,0,0,5,231502
Brandenburg,15-34,2020-02-02,2020,5,0,0,5,435611
Brandenburg,35-59,2020-02-02,2020,5,0,0,5,908807
Brandenburg,60-79,2020-02-02,2020,5,0,0,5,638658
Brandenburg,80+,2020-02-02,2020,5,0,0,5,208572
Bremen,00-04,2020-02-02,2020,5,0,0,5,34034
Bremen,05-14,2020-02-02,2020,5,0,0,5,60178
Bremen,15-34,2020-02-02,2020,5,0,0,5,172904
Bremen,35-59,2020-02-02,2020,5,0,0,5,225427
